id,client_id,job_id,arrival_time,end_time,job_time,queue_time
2445,5,233,1573771438.49521,1573771441.95113,2.07808399200439,1.37784290313721
2446,3,249,1573771438.56138,1573771442.02809,2.02943778038025,1.43727517127991
2447,9,236,1573771438.56179,1573771442.08556,2.09678339958191,1.42699289321899
2448,5,234,1573771438.76128,1573771443.1499,2.05699563026428,2.33162569999695
2449,1,253,1573771438.74949,1573771443.16809,2.08551979064941,2.33307552337646
2450,9,237,1573771439.09604,1573771443.60769,2.03886938095093,2.47278213500977
2451,0,223,1573771439.65684,1573771443.71819,2.06294226646423,1.99841237068176
2452,8,241,1573771440.10262,1573771443.81473,2.04800653457642,1.66409993171692
2453,2,250,1573771440.13059,1573771444.02204,2.06009221076965,1.83136105537415
2454,0,224,1573771440.14774,1573771444.06107,2.02216625213623,1.8911612033844
2455,9,238,1573771440.63355,1573771444.15666,2.05892705917358,1.46418166160584
2456,2,251,1573771440.64352,1573771445.16479,2.003493309021,2.51778244972229
2457,0,225,1573771440.90268,1573771445.21896,2.03983569145203,2.27644538879395
2458,2,252,1573771441.16739,1573771445.56145,1.94170999526978,2.45234894752502
2459,7,250,1573771441.23866,1573771445.66836,1.93763661384583,2.49206805229187
2460,8,242,1573771442.9976,1573771445.75341,1.92680907249451,0.828993558883667
2461,7,251,1573771443.23821,1573771445.94671,1.91211795806885,0.796387910842896
2462,3,250,1573771445.70858,1573771447.54966,1.8382134437561,0.00286316871643066
2463,9,239,1573771445.77943,1573771447.62311,1.841228723526,0.00245857238769531
2464,9,240,1573771446.1849,1573771448.04867,1.86100792884827,0.00276374816894531
2465,9,241,1573771446.72237,1573771448.61178,1.88629221916199,0.00311136245727539
2466,2,253,1573771446.77719,1573771448.64089,1.86099553108215,0.0027010440826416
2467,3,251,1573771447.0988,1573771448.95681,1.85507082939148,0.00293493270874023
2468,5,235,1573771447.79999,1573771449.64213,1.83905673027039,0.00308537483215332
2469,3,252,1573771448.73988,1573771450.68188,1.93943166732788,0.00256896018981934
2470,1,254,1573771448.91056,1573771450.86898,1.95540404319763,0.00302243232727051
2471,2,254,1573771449.00421,1573771451.00752,2.00037312507629,0.00294375419616699
2472,4,251,1573771449.85538,1573771451.90118,2.04280471801758,0.0029902458190918
2473,2,255,1573771449.9055,1573771451.91651,2.00831627845764,0.00269079208374023
2474,3,253,1573771449.88658,1573771451.92657,2.03675699234009,0.00323319435119629
2475,3,253,1573771449.88658,1573771451.92657,2.03675699234009,0.00323319435119629
2476,9,242,1573771449.91702,1573771451.94721,2.0276985168457,0.00248432159423828
2477,0,226,1573771450.05234,1573771452.08416,2.02941727638245,0.00240588188171387
2478,3,254,1573771450.29087,1573771452.77133,2.07621598243713,0.404245138168335
2479,6,237,1573771450.51465,1573771452.96416,2.0826735496521,0.366837978363037
2480,7,252,1573771450.51613,1573771453.07265,2.0543384552002,0.502180337905884
2481,0,227,1573771450.56447,1573771453.92627,2.01249074935913,1.34930348396301
2482,4,252,1573771451.35055,1573771454.01291,2.06666898727417,0.595690488815308
2483,1,255,1573771451.57808,1573771454.0254,2.06508922576904,0.382227659225464
2484,7,253,1573771451.6803,1573771454.10137,2.00533938407898,0.415733575820923
2485,9,243,1573771450.89406,1573771454.11997,2.18438291549683,1.04152488708496
2486,5,236,1573771452.40669,1573771454.93645,2.15178394317627,0.377970933914185
2487,4,253,1573771452.93943,1573771454.9629,1.98551082611084,0.0379550457000732
2488,3,255,1573771452.94683,1573771455.07829,1.9912748336792,0.140177726745605
2489,6,238,1573771453.30345,1573771455.86208,1.92415738105774,0.634472131729126
2490,5,237,1573771453.62461,1573771455.95163,1.92721009254456,0.399808168411255
2491,7,254,1573771454.56606,1573771456.52724,1.95851182937622,0.00266361236572266
2492,5,238,1573771455.01492,1573771456.97722,1.95944690704346,0.00285482406616211
2493,8,243,1573771455.56077,1573771457.6509,2.08728170394897,0.00284218788146973
2494,5,239,1573771455.74538,1573771457.73963,1.99179625511169,0.0024559497833252
2495,5,240,1573771455.79111,1573771457.79716,2.0033175945282,0.00273966789245605
2496,5,240,1573771455.79111,1573771457.79716,2.0033175945282,0.00273966789245605
