id,client_id,job_id,start_time,end_time,duration
2506,6,237,1573751629.55404,1573751631.42963,1.87559366226196
2507,8,266,1573751630.52992,1573751632.34076,1.81083631515503
2508,2,220,1573751630.9829,1573751632.78739,1.80449199676514
2509,5,257,1573751632.65052,1573751634.49637,1.84584927558899
2510,0,254,1573751632.87044,1573751634.75586,1.88541722297668
2511,8,267,1573751633.33029,1573751635.25332,1.9230375289917
2512,3,252,1573751633.62276,1573751635.5342,1.91144466400146
2513,7,261,1573751633.99727,1573751635.92926,1.93198752403259
2514,7,262,1573751634.14524,1573751636.05655,1.91130375862122
2515,4,255,1573751634.60819,1573751636.53436,1.92617607116699
2516,1,256,1573751634.90789,1573751636.78925,1.88136553764343
2517,0,255,1573751634.94346,1573751636.83538,1.89191651344299
2518,8,268,1573751636.20069,1573751638.02293,1.82223510742188
2519,0,256,1573751637.18758,1573751639.00147,1.81388854980469
2520,2,221,1573751637.3924,1573751639.25153,1.85912919044495
2521,8,269,1573751637.98184,1573751639.83644,1.85460233688355
2522,0,257,1573751638.3327,1573751640.21407,1.88137364387512
2523,5,258,1573751638.96112,1573751640.85567,1.89455628395081
2524,0,258,1573751639.00767,1573751640.91306,1.90539216995239
2525,2,222,1573751639.09677,1573751640.9635,1.86673307418823
2526,7,263,1573751640.26953,1573751642.11848,1.84895253181458
2527,6,238,1573751640.77294,1573751642.62858,1.85564184188843
2528,0,259,1573751641.07263,1573751642.88251,1.80987787246704
2529,3,253,1573751641.08784,1573751642.92989,1.84205389022827
2530,3,254,1573751642.4769,1573751644.29609,1.81918954849243
2531,3,255,1573751642.93659,1573751644.77304,1.83644962310791
2532,3,256,1573751643.41944,1573751645.25311,1.83366703987122
2533,2,223,1573751643.88702,1573751645.74822,1.86120080947876
2534,8,270,1573751644.13068,1573751646.01319,1.8825101852417
2535,6,239,1573751644.53268,1573751646.40778,1.87509441375732
2536,7,264,1573751645.23441,1573751647.11901,1.88460326194763
2537,8,271,1573751645.3074,1573751647.15446,1.84705901145935
2538,1,257,1573751646.03632,1573751647.91248,1.87615823745728
2539,0,260,1573751646.52558,1573751648.3846,1.85901761054993
2540,6,240,1573751646.66318,1573751648.54446,1.88128113746643
2541,6,241,1573751647.0818,1573751648.92863,1.84682130813599
2542,7,265,1573751647.37728,1573751649.24064,1.86336159706116
2543,6,242,1573751647.77773,1573751649.59744,1.81971096992493
2544,8,272,1573751649.94813,1573751651.75589,1.80776453018188
2545,5,259,1573751650.05727,1573751651.90073,1.8434579372406
2546,3,257,1573751650.40983,1573751652.26311,1.85328817367554
2547,9,272,1573751650.59886,1573751652.4925,1.89363884925842
2548,5,260,1573751651.05019,1573751652.96571,1.91551733016968
2549,6,243,1573751651.80648,1573751653.71812,1.91163849830627
2550,3,258,1573751652.15745,1573751654.0574,1.89994883537292
2551,2,224,1573751652.33452,1573751654.19691,1.86239409446716
2552,7,266,1573751652.592,1573751654.48683,1.89482092857361
2553,7,267,1573751652.65747,1573751654.54303,1.8855574131012
2554,5,261,1573751653.61929,1573751655.41853,1.79924821853638
2555,0,261,1573751655.39257,1573751657.21955,1.826979637146
2556,6,244,1573751655.49644,1573751657.28543,1.78898739814758
2557,8,273,1573751656.43358,1573751658.29002,1.85644292831421
2558,7,268,1573751656.67282,1573751658.48358,1.81075763702393
2559,2,225,1573751656.85404,1573751658.66909,1.8150520324707
2560,0,262,1573751658.04894,1573751659.83733,1.78838729858398
2561,1,258,1573751659.7076,1573751661.67263,1.96502995491028
2562,4,256,1573751660.13789,1573751662.12522,1.98733067512512
2563,8,274,1573751660.23051,1573751662.23565,2.00513815879822
2564,9,273,1573751660.27847,1573751662.26295,1.98448133468628
2565,8,275,1573751660.60796,1573751662.60532,1.99735426902771
2566,5,262,1573751660.74302,1573751662.73586,1.9928457736969
