id,client_id,job_id,start_time,end_time,duration
436,3,43,1573748333.78921,1573748335.78459,1.99537968635559
437,2,44,1573748333.79867,1573748335.83853,2.03986024856567
438,8,44,1573748334.06985,1573748336.06243,1.99257946014404
439,3,44,1573748334.48493,1573748336.52832,2.04339385032654
440,1,43,1573748336.57342,1573748338.41035,1.83693075180054
441,8,45,1573748337.08063,1573748338.95939,1.87875938415527
442,1,44,1573748337.18135,1573748339.046,1.86465167999268
443,4,48,1573748337.6511,1573748339.55481,1.90371561050415
444,1,45,1573748338.65226,1573748340.56464,1.91238021850586
445,3,45,1573748338.69657,1573748340.61214,1.91556930541992
446,6,38,1573748338.92286,1573748340.84836,1.92549467086792
447,2,45,1573748339.76447,1573748341.68604,1.92157244682312
448,6,39,1573748340.12454,1573748342.08043,1.95589208602905
449,8,46,1573748341.06445,1573748343.0192,1.95474934577942
450,4,49,1573748341.16932,1573748343.13734,1.9680278301239
451,1,46,1573748341.30661,1573748343.25592,1.94930815696716
452,2,46,1573748341.57886,1573748343.58567,2.00681519508362
453,4,50,1573748341.81576,1573748343.76474,1.9489860534668
454,6,40,1573748342.49639,1573748344.45617,1.95977711677551
455,1,47,1573748343.03572,1573748344.96096,1.92523789405823
456,6,41,1573748343.15871,1573748345.05689,1.89818263053894
457,5,59,1573748344.02055,1573748345.96907,1.94851732254028
458,1,48,1573748344.54741,1573748346.45865,1.91124415397644
459,2,47,1573748344.56884,1573748346.50248,1.93364858627319
460,4,51,1573748344.80117,1573748346.70464,1.90347456932068
461,9,43,1573748346.08744,1573748347.91113,1.82368755340576
462,2,48,1573748346.83704,1573748348.64341,1.80636620521545
463,6,42,1573748347.54444,1573748349.384,1.8395676612854
464,4,52,1573748347.67045,1573748349.52317,1.85272145271301
465,2,49,1573748348.60671,1573748350.48218,1.87546944618225
466,6,43,1573748348.96193,1573748350.82399,1.86206555366516
467,7,44,1573748349.02795,1573748350.89406,1.86611342430115
468,8,47,1573748350.63941,1573748352.46228,1.82286739349365
469,8,48,1573748350.76428,1573748352.60701,1.84272837638855
470,5,60,1573748352.41158,1573748354.25341,1.84183764457703
471,8,49,1573748352.60723,1573748354.481,1.87377142906189
472,8,50,1573748352.68645,1573748354.60932,1.92286705970764
473,5,61,1573748353.05834,1573748354.98633,1.92798948287964
474,1,49,1573748353.94056,1573748355.89498,1.95441913604736
475,6,44,1573748354.21642,1573748356.11497,1.89854574203491
476,2,50,1573748354.36168,1573748356.26368,1.90200328826904
477,9,44,1573748354.60401,1573748356.45465,1.85064649581909
478,2,51,1573748356.07159,1573748357.954,1.88241195678711
479,8,51,1573748356.57753,1573748358.48972,1.91218996047974
480,2,52,1573748356.67767,1573748358.57561,1.89794206619263
481,6,45,1573748356.68257,1573748358.60159,1.91902089118958
482,9,45,1573748357.04322,1573748358.95907,1.91585874557495
483,0,32,1573748358.98744,1573748360.8827,1.89525866508484
484,3,46,1573748359.0041,1573748360.89107,1.88697123527527
485,5,62,1573748358.98978,1573748360.90249,1.91271042823792
486,1,50,1573748360.1445,1573748362.02553,1.88102912902832
487,8,52,1573748360.35183,1573748362.24052,1.88869380950928
488,8,53,1573748360.92643,1573748362.76464,1.8382089138031
489,5,63,1573748361.09982,1573748362.94007,1.84025001525879
490,7,45,1573748362.53557,1573748364.41494,1.87936806678772
491,8,54,1573748362.86857,1573748364.75016,1.88159346580505
492,6,46,1573748363.06381,1573748365.039,1.97518587112427
493,4,53,1573748363.18225,1573748365.11568,1.93342089653015
494,8,55,1573748363.56172,1573748365.5211,1.95937323570251
495,3,47,1573748364.10827,1573748366.08098,1.97270965576172
496,8,56,1573748364.62207,1573748366.60021,1.97813725471497
497,1,51,1573748365.07646,1573748367.07827,2.00180268287659
498,5,64,1573748365.25688,1573748367.24729,1.99040269851685
499,4,54,1573748365.26536,1573748367.26201,1.99664783477783
500,1,52,1573748365.44207,1573748367.40663,1.96455955505371
501,0,33,1573748365.95195,1573748367.9069,1.95495080947876
502,3,48,1573748366.25029,1573748368.15401,1.90371799468994
503,2,53,1573748367.38264,1573748369.24962,1.86698698997498
504,3,49,1573748367.81608,1573748369.65111,1.83502745628357
505,7,46,1573748368.28345,1573748370.13487,1.85141515731812
506,1,53,1573748368.36448,1573748370.23023,1.86575365066528
507,9,46,1573748369.40953,1573748371.23628,1.8267502784729
508,7,47,1573748369.80195,1573748371.67382,1.87187767028809
509,6,47,1573748370.55023,1573748372.41069,1.86045980453491
510,6,48,1573748371.36405,1573748373.214,1.84995532035828
511,0,34,1573748371.42559,1573748373.27034,1.84475445747376
512,8,57,1573748372.69515,1573748374.48905,1.79389691352844
513,6,49,1573748373.28683,1573748375.06027,1.77343153953552
514,8,58,1573748374.09332,1573748375.87985,1.78652882575989
515,2,54,1573748375.62858,1573748377.53671,1.90812969207764
516,9,47,1573748376.16085,1573748378.18649,2.02563571929932
517,1,54,1573748376.68162,1573748378.71915,2.03752899169922
518,7,48,1573748376.81521,1573748378.90006,2.0848548412323
519,0,35,1573748378.017,1573748379.9664,1.94939947128296
520,3,50,1573748378.09209,1573748380.02361,1.93151998519897
521,0,36,1573748378.13143,1573748380.11457,1.98313212394714
522,8,59,1573748378.45014,1573748380.40058,1.95043992996216
523,0,37,1573748378.93102,1573748380.87229,1.94127249717712
524,5,65,1573748379.87296,1573748381.76595,1.89298439025879
525,4,55,1573748380.20795,1573748382.10342,1.89546895027161
526,1,55,1573748380.32754,1573748382.21508,1.88753581047058
527,8,60,1573748380.80596,1573748382.6901,1.88413858413696
528,6,50,1573748380.88454,1573748382.76004,1.87550020217896
529,7,49,1573748382.41395,1573748384.20845,1.79450106620789
530,5,66,1573748382.67108,1573748384.4966,1.82551741600037
531,9,48,1573748382.8908,1573748384.71029,1.81948590278626
532,8,61,1573748383.62455,1573748385.44587,1.82132411003113
533,8,62,1573748384.21462,1573748386.02969,1.81506204605103
534,3,51,1573748384.60226,1573748386.42723,1.82496380805969
535,7,50,1573748385.81154,1573748387.8978,2.08625388145447
536,0,38,1573748386.37572,1573748388.3857,2.0099835395813
537,3,52,1573748386.67513,1573748388.74379,2.06866002082825
538,5,67,1573748386.98461,1573748389.11171,2.1271014213562
539,9,49,1573748387.12336,1573748389.23043,2.10706472396851
540,6,51,1573748388.34031,1573748390.27932,1.9390115737915
